ano,mes,classe_orcamentaria,subclasse,equipamento,centro_custo,valor
2025,Jan,Pessoal,Salários,GERAL,CC-421,208265.09
2025,Fev,Pessoal,Salários,GERAL,CC-421,177215.66
2025,Mar,Pessoal,Salários,GERAL,CC-421,194125.21
2025,Abr,Pessoal,Salários,GERAL,CC-421,207072.67
2025,Mai,Pessoal,Salários,GERAL,CC-421,200910.09
2025,Jun,Pessoal,Salários,GERAL,CC-421,207893.2
2025,Jul,Pessoal,Salários,GERAL,CC-421,262002.36
2025,Ago,Pessoal,Salários,GERAL,CC-421,207336.91
2025,Set,Pessoal,Salários,GERAL,CC-421,181562.46
2025,Out,Pessoal,Salários,GERAL,CC-421,205153.74
2025,Nov,Pessoal,Salários,GERAL,CC-421,205153.74
2025,Dez,Pessoal,Salários,GERAL,CC-421,205153.74
2025,Jan,Pessoal,INSS,GERAL,CC-421,51960.59
2025,Fev,Pessoal,INSS,GERAL,CC-421,47312.43
2025,Mar,Pessoal,INSS,GERAL,CC-421,50133
2025,Abr,Pessoal,INSS,GERAL,CC-421,52043.31
2025,Mai,Pessoal,INSS,GERAL,CC-421,51066.77
2025,Jun,Pessoal,INSS,GERAL,CC-421,50984.87
2025,Jul,Pessoal,INSS,GERAL,CC-421,68726.35
2025,Ago,Pessoal,INSS,GERAL,CC-421,52455.26
2025,Set,Pessoal,INSS,GERAL,CC-421,49318.66
2025,Out,Pessoal,INSS,GERAL,CC-421,52666.8
2025,Nov,Pessoal,INSS,GERAL,CC-421,52666.8
2025,Dez,Pessoal,INSS,GERAL,CC-421,52666.8
2025,Jan,Pessoal,FGTS,GERAL,CC-421,15176.83
2025,Fev,Pessoal,FGTS,GERAL,CC-421,14687.39
2025,Mar,Pessoal,FGTS,GERAL,CC-421,15038.17
2025,Abr,Pessoal,FGTS,GERAL,CC-421,19871.42
2025,Mai,Pessoal,FGTS,GERAL,CC-421,16829.71
2025,Jun,Pessoal,FGTS,GERAL,CC-421,20874.31
2025,Jul,Pessoal,FGTS,GERAL,CC-421,20139.37
2025,Ago,Pessoal,FGTS,GERAL,CC-421,18473.5
2025,Set,Pessoal,FGTS,GERAL,CC-421,18449.26
2025,Out,Pessoal,FGTS,GERAL,CC-421,17726.66
2025,Nov,Pessoal,FGTS,GERAL,CC-421,17726.66
2025,Dez,Pessoal,FGTS,GERAL,CC-421,17726.66
2025,Jan,Pessoal,Vale Transporte,GERAL,CC-421,32369.88
2025,Fev,Pessoal,Vale Transporte,GERAL,CC-421,32369.88
2025,Mar,Pessoal,Vale Transporte,GERAL,CC-421,41001.86
2025,Abr,Pessoal,Vale Transporte,GERAL,CC-421,32369.88
2025,Mai,Pessoal,Vale Transporte,GERAL,CC-421,34190.35
2025,Jun,Pessoal,Vale Transporte,GERAL,CC-421,34190.35
2025,Jul,Pessoal,Vale Transporte,GERAL,CC-421,34190.35
2025,Ago,Pessoal,Vale Transporte,GERAL,CC-421,36129.03
2025,Set,Pessoal,Vale Transporte,GERAL,CC-421,36792.19
2025,Out,Pessoal,Vale Transporte,GERAL,CC-421,34844.86
2025,Nov,Pessoal,Vale Transporte,GERAL,CC-421,34844.86
2025,Dez,Pessoal,Vale Transporte,GERAL,CC-421,34844.86
2025,Jan,Pessoal,Convênio Médico,GERAL,CC-421,30460.82
2025,Fev,Pessoal,Convênio Médico,GERAL,CC-421,2489.15
2025,Mar,Pessoal,Convênio Médico,GERAL,CC-421,32878.3
2025,Abr,Pessoal,Convênio Médico,GERAL,CC-421,18666.9
2025,Mai,Pessoal,Convênio Médico,GERAL,CC-421,1222.09
2025,Jun,Pessoal,Convênio Médico,GERAL,CC-421,18061.95
2025,Jul,Pessoal,Convênio Médico,GERAL,CC-421,17568.92
2025,Ago,Pessoal,Convênio Médico,GERAL,CC-421,20619.86
2025,Set,Pessoal,Convênio Médico,GERAL,CC-421,16978.68
2025,Out,Pessoal,Convênio Médico,GERAL,CC-421,17660.74
2025,Nov,Pessoal,Convênio Médico,GERAL,CC-421,17660.74
2025,Dez,Pessoal,Convênio Médico,GERAL,CC-421,17660.74
2025,Jan,Pessoal,Alimentação,GERAL,CC-421,28907.29
2025,Fev,Pessoal,Alimentação,GERAL,CC-421,31565.95
2025,Mar,Pessoal,Alimentação,GERAL,CC-421,31155.24
2025,Abr,Pessoal,Alimentação,GERAL,CC-421,30686.75
2025,Mai,Pessoal,Alimentação,GERAL,CC-421,30054.11
2025,Jun,Pessoal,Alimentação,GERAL,CC-421,26292.17
2025,Jul,Pessoal,Alimentação,GERAL,CC-421,30484.73
2025,Ago,Pessoal,Alimentação,GERAL,CC-421,30740.88
2025,Set,Pessoal,Alimentação,GERAL,CC-421,29440.15
2025,Out,Pessoal,Alimentação,GERAL,CC-421,29925.25
2025,Nov,Pessoal,Alimentação,GERAL,CC-421,29925.25
2025,Dez,Pessoal,Alimentação,GERAL,CC-421,29925.25
2025,Jan,Pessoal,Saúde Ocupacional,GERAL,CC-421,290.04
2025,Fev,Pessoal,Saúde Ocupacional,GERAL,CC-421,3188.52
2025,Mar,Pessoal,Saúde Ocupacional,GERAL,CC-421,1872.13
2025,Abr,Pessoal,Saúde Ocupacional,GERAL,CC-421,1700.9
2025,Mai,Pessoal,Saúde Ocupacional,GERAL,CC-421,1853.47
2025,Jun,Pessoal,Saúde Ocupacional,GERAL,CC-421,3044.86
2025,Jul,Pessoal,Saúde Ocupacional,GERAL,CC-421,1341.67
2025,Ago,Pessoal,Saúde Ocupacional,GERAL,CC-421,1807.53
2025,Set,Pessoal,Saúde Ocupacional,GERAL,CC-421,1342.19
2025,Out,Pessoal,Saúde Ocupacional,GERAL,CC-421,1826.81
2025,Nov,Pessoal,Saúde Ocupacional,GERAL,CC-421,1826.81
2025,Dez,Pessoal,Saúde Ocupacional,GERAL,CC-421,1826.81
2025,Fev,Pessoal,Treinamentos,GERAL,CC-421,3017.2
