ano,mes,classe_codigo,classe_orcamentaria,subclasse,equipamento,centro_custo,valor
2025,Jan,421101,Pessoal,Salários,GERAL,CC-421,208265.09
2025,Fev,421101,Pessoal,Salários,GERAL,CC-421,177215.66
2025,Mar,421101,Pessoal,Salários,GERAL,CC-421,194125.21
2025,Abr,421101,Pessoal,Salários,GERAL,CC-421,207072.67
2025,Mai,421101,Pessoal,Salários,GERAL,CC-421,200910.09
2025,Jun,421101,Pessoal,Salários,GERAL,CC-421,207893.2
2025,Jul,421101,Pessoal,Salários,GERAL,CC-421,262002.36
2025,Ago,421101,Pessoal,Salários,GERAL,CC-421,207336.91
2025,Set,421101,Pessoal,Salários,GERAL,CC-421,181562.46
2025,Out,421101,Pessoal,Salários,GERAL,CC-421,205153.74
2025,Nov,421101,Pessoal,Salários,GERAL,CC-421,205153.74
2025,Dez,421101,Pessoal,Salários,GERAL,CC-421,205153.74
2025,Jan,421201,Pessoal,INSS,GERAL,CC-421,51960.59
2025,Fev,421201,Pessoal,INSS,GERAL,CC-421,47312.43
2025,Mar,421201,Pessoal,INSS,GERAL,CC-421,50133
2025,Abr,421201,Pessoal,INSS,GERAL,CC-421,52043.31
2025,Mai,421201,Pessoal,INSS,GERAL,CC-421,51066.77
2025,Jun,421201,Pessoal,INSS,GERAL,CC-421,50984.87
2025,Jul,421201,Pessoal,INSS,GERAL,CC-421,68726.35
2025,Ago,421201,Pessoal,INSS,GERAL,CC-421,52455.26
2025,Set,421201,Pessoal,INSS,GERAL,CC-421,49318.66
2025,Out,421201,Pessoal,INSS,GERAL,CC-421,52666.8
2025,Nov,421201,Pessoal,INSS,GERAL,CC-421,52666.8
2025,Dez,421201,Pessoal,INSS,GERAL,CC-421,52666.8
2025,Jan,421202,Pessoal,FGTS,GERAL,CC-421,15176.83
2025,Fev,421202,Pessoal,FGTS,GERAL,CC-421,14687.39
2025,Mar,421202,Pessoal,FGTS,GERAL,CC-421,15038.17
2025,Abr,421202,Pessoal,FGTS,GERAL,CC-421,19871.42
2025,Mai,421202,Pessoal,FGTS,GERAL,CC-421,16829.71
2025,Jun,421202,Pessoal,FGTS,GERAL,CC-421,20874.31
2025,Jul,421202,Pessoal,FGTS,GERAL,CC-421,20139.37
2025,Ago,421202,Pessoal,FGTS,GERAL,CC-421,18473.5
2025,Set,421202,Pessoal,FGTS,GERAL,CC-421,18449.26
2025,Out,421202,Pessoal,FGTS,GERAL,CC-421,17726.66
2025,Nov,421202,Pessoal,FGTS,GERAL,CC-421,17726.66
2025,Dez,421202,Pessoal,FGTS,GERAL,CC-421,17726.66
2025,Jan,421204,Pessoal,Vale Transporte,GERAL,CC-421,32369.88
2025,Fev,421204,Pessoal,Vale Transporte,GERAL,CC-421,32369.88
2025,Mar,421204,Pessoal,Vale Transporte,GERAL,CC-421,41001.86
2025,Abr,421204,Pessoal,Vale Transporte,GERAL,CC-421,32369.88
