TABELA,FILIAL,DESC FILIAL,DT EMISSAO,GRUPO DE PRODUTO,COD PRODUTO,DESC PRODUTO,QTDE,VLR UNIT.,R$ TOTAL,NATUREZA,NATUREZA DESCR.,DESC NATUREZA,TES,CFOP,C.C,DESC C.C,CLASSE_VALOR,DESC CLASSE VALOR,DOC,FORNECEDOR,DESC FORNECEDOR
SD1 - ENTRADAS,020102,TGM - FILIAL BARRO ALTO,2025-04-10 00:00:00,MOTOR,020500029,MOTOR COMPLETO,1,137952.75,137952.75,3010007,MAQUINAS/ EQUIPAMENTOS,3-CAPEX,083 - IMOB S/ DIFAL CALCULA ICMS E  DESM AT = NAO,1551  - COMPRA DE BEM PARA O ATIVO IMOBILIZADO,302002,MANUTENCAO,101059,GE-03,000010476,00122739,RETIFICA DE MOTORES AMERICANA LTDA - EPP
SD1 - ENTRADAS,020102,TGM - FILIAL BARRO ALTO,2025-05-28 00:00:00,MAO DE OBRA,020300003,SERVICOS DE MANUTENCAO EM MAQU,1,125513.85,125513.85,2040005,CONSERVACAO DE MAQUINAS E EQUI,2-DESPESA,034 - SERVICOS TOMADOS,1933  - Aquisi‡Æo de servi‡o tributado pelo ISSQN,302002,MANUTENCAO,101001,BM-01,000012310,34151100,SOTREQ S/A
SD1 - ENTRADAS,020202,MSE - FILIAL BARRO ALTO,2025-02-24 00:00:00,EQUIPAMENTOS INDUSTRIAIS,100100120,GRUPO MOTOR GERADOR C200D6380,1,116516.55,116516.55,2040005,CONSERVACAO DE MAQUINAS E EQUI,2-DESPESA,013 - USO CONSUMO C/ ICMS,1556  - COMPRA DE MATERIAL PARA USO OU CONSUMO,302002,MANUTENCAO,101061,GE-04,000010346,00122739,RETIFICA DE MOTORES AMERICANA LTDA - EPP
SD1 - ENTRADAS,020102,TGM - FILIAL BARRO ALTO,2025-11-12 00:00:00,VEICULOS LEVES,110100018,STRADA FREEDOM CD 1.3,1,101996,101996,3010009,VEICULOS,3-CAPEX,325 - IMO / DESM ATIVO / SEM CIAP,1551  - COMPRA DE BEM PARA O ATIVO IMOBILIZADO,302002,MANUTENCAO,102052,VL-28,000000013,16886552,SANTISSIMA TRINDADE PARTICIPACOES LOGISTICA LTDA
SD3 - BAIXA ALMOXARIFADO,020102,TGM - FILIAL BARRO ALTO,2025-03-28 00:00:00,PECAS,020609344,EMBREAGEM PTTECH PAT2040002008,1,95897.8,95897.8,2050001,MANUTENCAO DE EQUIPAMENTOS,2-DESPESA,"","",302002,MANUTENCAO,101124,BM-03,TROCA0LFN,"",KAIQUE.ALVES
SD1 - ENTRADAS,020102,TGM - FILIAL BARRO ALTO,2025-01-15 00:00:00,PECAS,020609760,ROLAMENTO CAT 567-4399,1,95592.53,95592.53,2040005,CONSERVACAO DE MAQUINAS E EQUI,2-DESPESA,165 - INSUMO INTRMEDIARIO RBC S/EST,1101  - COMPRA PARA INDUSTRIALIZACAO OU PRODUÇÃO RURAL,302002,MANUTENCAO,101130,EH-12 - TGM,000751118,34151100,SOTREQ S/A
SD3 - BAIXA ALMOXARIFADO,020102,TGM - FILIAL BARRO ALTO,2025-03-22 00:00:00,MATERIAL DE DESGASTE,020400118,MARTELO IMPULSOR BM-01 / PC-05,4,20320.698,81282.792,2040005,CONSERVACAO DE MAQUINAS E EQUI,2-DESPESA,"","",302002,MANUTENCAO,101001,BM-01,TROCA0LJ2,"",LUIZ.SANTOS
SD3 - BAIXA ALMOXARIFADO,020102,TGM - FILIAL BARRO ALTO,2025-09-08 00:00:00,MATERIAL DE DESGASTE,020400118,MARTELO IMPULSOR BM-01 / PC-05,4,20320.698,81282.792,2040005,CONSERVACAO DE MAQUINAS E EQUI,2-DESPESA,"","",302002,MANUTENCAO,101001,BM-01,TROCA0NTR,"",VANESSA.ALVES
SD3 - BAIXA ALMOXARIFADO,020102,TGM - FILIAL BARRO ALTO,2025-02-13 00:00:00,PECAS,020607093,MARTELO CRN SANDIVIK,3,26591.372031333332,79774.116094,2040005,CONSERVACAO DE MAQUINAS E EQUI,2-DESPESA,"","",302002,MANUTENCAO,101168,BM-04,TROCA0KU2,"",LUIZ.SANTOS
SD3 - BAIXA ALMOXARIFADO,020102,TGM - FILIAL BARRO ALTO,2025-10-18 00:00:00,PECAS,020607093,MARTELO CRN SANDIVIK,4,19741.08851575,78964.354063,2040005,CONSERVACAO DE MAQUINAS E EQUI,2-DESPESA,"","",302002,MANUTENCAO,101168,BM-04,TROCA0ODQ,"",LUIZ.SANTOS
SD1 - ENTRADAS,020202,MSE - FILIAL BARRO ALTO,2025-10-23 00:00:00,MAO DE OBRA,020300003,SERVICOS DE MANUTENCAO EM MAQU,3,26144.733333333334,78434.2,2040005,CONSERVACAO DE MAQUINAS E EQUI,2-DESPESA,034 - SERVICOS TOMADOS - DESPESA,1933  - Aquisi‡Æo de servi‡o tributado pelo ISSQN,302002,MANUTENCAO,101124,BM-03,000000054,04233646,SICARI INDUSTRIA LTDA
