data,equipamento,produto,quantidade,valorUnitario,valorTotal,fornecedor
2025-04-10 00:00:00,GE-03,"MOTOR COMPLETO",1,137952.75,137952.75,"RETIFICA DE MOTORES AMERICANA LTDA - EPP"
2025-05-28 00:00:00,BM-01,"SERVICOS DE MANUTENCAO EM MAQU",1,125513.85,125513.85,"SOTREQ S/A"
2025-02-24 00:00:00,GE-04,"GRUPO MOTOR GERADOR C200D6380",1,116516.55,116516.55,"RETIFICA DE MOTORES AMERICANA LTDA - EPP"
2025-11-12 00:00:00,VL-28,"STRADA FREEDOM CD 1.3",1,101996,101996,"SANTISSIMA TRINDADE PARTICIPACOES LOGISTICA LTDA"
2025-03-28 00:00:00,BM-03,"EMBREAGEM PTTECH PAT2040002008",1,95897.8,95897.8,"KAIQUE.ALVES"
2025-01-15 00:00:00,EH-12,"ROLAMENTO CAT 567-4399",1,95592.53,95592.53,"SOTREQ S/A"
2025-03-22 00:00:00,BM-01,"MARTELO IMPULSOR BM-01 / PC-05",4,20320.698,81282.792,"LUIZ.SANTOS"
2025-09-08 00:00:00,BM-01,"MARTELO IMPULSOR BM-01 / PC-05",4,20320.698,81282.792,"VANESSA.ALVES"
2025-02-13 00:00:00,BM-04,"MARTELO CRN SANDIVIK",3,26591.372031333332,79774.116094,"LUIZ.SANTOS"
2025-10-18 00:00:00,BM-04,"MARTELO CRN SANDIVIK",4,19741.08851575,78964.354063,"LUIZ.SANTOS"
2025-10-23 00:00:00,BM-03,"SERVICOS DE MANUTENCAO EM MAQU",3,26144.733333333334,78434.2,"SICARI INDUSTRIA LTDA"
2025-04-28 00:00:00,BM-03,"IMPULSOR BM 03 EM FERRO",4,19083.33375,76333.335,"BRAIANN.ARAGAO"
2025-07-22 00:00:00,BM-03,"IMPULSOR BM 03 EM FERRO",4,19083.33375,76333.335,"BRAIANN.ARAGAO"
2025-05-20 00:00:00,EH-07,"BOMBA HIDRAULICA",1,73414,73414,"VEDAPRESS VEDACOES PECAS E SERVICOS LTDA"
2025-03-24 00:00:00,BM-03,"SERVICOS DE MANUTENCAO EM MAQU",1,70714.79,70714.79,"PATEC ELETRICA E AUTOMACAO INDUSTRIAL LTDA"
2025-01-20 00:00:00,BM-01,"VIRABEQU CAT 3133997",1,53091.84,53091.84,"SOTREQ S/A"
2025-01-10 00:00:00,BM-04,"CORREIA 4/SPC8000 CONTINENTAL",2,26273.12,52546.24,"GABRIEL.ANDRADE"
2025-08-25 00:00:00,BM-04,"CORREIA 4/SPC8000 CONTINENTAL",2,26273.12,52546.24,"BRAIANN.ARAGAO"
2025-04-07 00:00:00,TE-03,"CORRENTE CAT 3969703",2,25743.75,51487.5,"SOTREQ S/A"
2025-04-17 00:00:00,GE-08,"SERVICOS DE MANUTENCAO EM MAQU",9,5659.884444444444,50938.96,"DCCO SOLUCOES EM ENERGIA E EQUIPAMENTOS LTDA"
2025-10-08 00:00:00,TE-03,"CONJ. ESTEIRA CAT 396-9703",2,25231.57,50463.14,"SOTREQ S/A"
2025-01-20 00:00:00,BM-01,"SERVICOS DE MANUTENCAO EM MAQU",1,48085.24,48085.24,"SOTREQ S/A"
2025-04-03 00:00:00,PC-09,"SERVICOS DE MANUTENCAO EM MAQU",1,44883.34,44883.34,"SOTREQ S/A"
2025-05-13 00:00:00,BM-03,"INJETOR CAT 249-0713",6,6750,40500,"SOTREQ S/A"
2025-02-26 00:00:00,BM-03,"KIT DISCO PAT2040002011 - FR 3",3,12060.243333333334,36180.73,"PATEC ELETRICA E AUTOMACAO INDUSTRIAL LTDA"
2025-04-11 00:00:00,BM-03,"EMBREAGEM PTTECH PAT2040002008",1,34376.91,34376.91,"PATEC ELETRICA E AUTOMACAO INDUSTRIAL LTDA"
2025-02-13 00:00:00,BM-02,"ROLAMENTO SKF 22340 CCK/C3W33",2,17093.06,34186.12,"ABECOM ROLAMENTOS E PRODUTOS DE BORRACHA LTDA"
2025-10-22 00:00:00,PC-02,"COROA CAT 356-3661",1,33727.6,33727.6,"SOTREQ S/A"
2025-05-13 00:00:00,CB-18,"RODA AXOR 4144 1200X24",10,3320.1919192,33201.919192,"KAIQUE.ALVES"
2025-08-20 00:00:00,EH-09,"SERVICOS DE MANUTENCAO EM MAQU",3,10788,32364,"VEDAPRESS SERVICOS HIDRAULICOS LTDA"
2025-02-13 00:00:00,BM-02,"ROLAMENTO SKF 23244-E W33/C3",2,15261.425,30522.85,"ABECOM ROLAMENTOS E PRODUTOS DE BORRACHA LTDA"
2025-06-26 00:00:00,BM-01,"CORREIA TRANSPORTADORA  EA 48",44,689.1556534772727,30322.848753,"BRAIANN.ARAGAO"
2025-01-20 00:00:00,BM-01,"INJETOR CAT 10R3262.000",6,4766.658333333334,28599.95,"SOTREQ S/A"
2025-02-07 00:00:00,TC-01,"CORREIA TRANSPORTADORA 36",75,371.84746666666666,27888.56,"KAIQUE.ALVES"
2025-09-03 00:00:00,BM-03,"CORREIA 4/SPC8500 CONTINENTAL",2,13910.865,27821.73,"BRAIANN.ARAGAO"
2025-01-16 00:00:00,CB-05,"PNEU 325/95R24",10,2777.0063698999998,27770.063699,"ALVARO.ISAQUE"
2025-01-21 00:00:00,BM-03,"KIT DISCO PAT2040002011 - FR 3",1,27298.45,27298.45,"PATEC ELETRICA E AUTOMACAO INDUSTRIAL LTDA"
2025-02-13 00:00:00,BM-04,"MARTELO CRN SANDIVIK",1,26591.372031,26591.372031,"LUIZ.SANTOS"
